  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.3174 ns  (3.15 GHz)
  frequencia lida do sysfs no mesmo instante:         5.40 GHz

  amostra  ns/operacao   GHz
      461       0.3388   5.36
      462       0.3382   5.37
      463       0.3386   5.37
      464       0.3511   5.37
      465       0.3445   5.37
      466       0.3383   5.36
      467       0.3386   5.36
      468       0.3459   5.36
      469       0.3374   5.36
      470       0.3382   5.36
      471       0.3386   5.36
      472       0.3385   5.37
      473       0.3544   5.37
      474       0.3381   5.37
      475       0.3386   5.37
      476       0.3381   5.37
      477       0.3391   5.37
      478       0.3391   5.37
      479       0.3374   5.37
      480       0.3381   5.37
      481       0.3403   5.37
      482       0.3383   5.36
      483       0.3385   5.36
      484       0.3389   5.36
      485       0.3384   5.37
      486       0.3397   5.37
      487       0.3447   5.36
      488       0.3381   5.36
      489       0.3393   5.36
      490       0.3456   5.36
      491       0.3382   5.36
      492       0.3386   5.36
      493       0.3385   5.37
      494       0.3388   5.37
      495       0.3388   5.36
      496       0.3382   5.36
      497       0.3388   5.36
      498       0.3380   5.37
      499       0.3394   5.37
      500       0.3388   5.36
      501       0.3389   5.36
      502       0.3390   5.36
      503       0.3387   5.36
      504       0.3387   5.36
      505       0.3390   5.36
      506       0.3434   5.36
      507       0.3383   5.37
      508       0.3385   5.37
      509       0.3444   5.37
      510       0.3394   5.36
      511       0.3399   5.36
      512       0.3398   5.36
      513       0.3383   5.36
      514       0.3383   5.36
      515       0.3468   5.36
      516       0.3395   5.36
      517       0.3372   5.36
      518       0.3382   5.36
      519       0.3397   5.36
      520       0.3379   5.36
      521       0.3489   5.36
      522       0.3418   5.36
      523       0.3376   5.37
      524       0.3388   5.37
      525       0.3390   5.37
      526       0.3385   5.37
      527       0.3386   5.37
      528       0.3385   5.37
      529       0.3380   5.37
      530       0.3389   5.37
      531       0.3395   5.37
      532       0.3388   5.36
      533       0.3393   5.36
      534       0.3391   5.36
      535       0.3380   5.36
      536       0.3385   5.36
      537       0.3382   5.36
      538       0.3388   5.37
      539       0.3378   5.36
      540       0.3393   5.36
      541       0.3397   5.36
      542       0.3374   5.37
      543       0.3486   5.37
      544       0.3411   5.37
      545       0.3376   5.37
      546       0.3388   5.37
      547       0.3392   5.37
      548       0.3392   5.36
      549       0.3389   5.36
      550       0.3394   5.36
      551       0.3381   5.36
      552       0.3386   5.36
      553       0.3382   5.36
      554       0.3378   5.37
      555       0.3380   5.37
      556       0.3386   5.37
      557       0.3379   5.37
      558       0.3392   5.37
      559       0.3465   5.37
      560       0.3395   5.37
      561       0.3380   5.37
      562       0.3383   5.37
      563       0.3391   5.37
      564       0.3371   5.36
      565       0.3387   5.36
      566       0.3388   5.36
      567       0.3383   5.36
      568       0.3386   5.36
      569       0.3386   5.37
      570       0.3382   5.36
      571       0.3389   5.36
      572       0.3388   5.36
      573       0.3375   5.37
      574       0.3390   5.37
      575       0.3405   5.37
      576       0.3379   5.37
      577       0.3518   5.37
      578       0.3388   5.37
      579       0.3379   5.37
      580       0.3545   5.37
      581       0.3395   5.36
      582       0.3396   5.36
      583       0.3372   5.36
      584       0.3392   5.36
      585       0.3389   5.36
      586       0.3382   5.36
      587       0.3498   5.36
      588       0.3387   5.36
      589       0.3382   5.36
      590       0.3388   5.36
      591       0.3392   5.36
      592       0.3380   5.36
      593       0.3391   5.36
      594       0.3399   5.36
      595       0.3381   5.36
      596       0.3526   5.36
      597       0.3385   5.36
      598       0.3379   5.36
      599       0.3387   5.36
      600       0.3385   5.36
      601       0.3380   5.36
      602       0.3387   5.36
      603       0.3388   5.36
      604       0.3389   5.36
      605       0.3395   5.36
      606       0.3392   5.36
      607       0.3387   5.36
      608       0.3373   5.37
      609       0.3390   5.37
      610       0.3388   5.36
      611       0.3384   5.36
      612       0.3382   5.36
      613       0.3384   5.36
      614       0.3388   5.36
      615       0.3389   5.36
      616       0.3386   5.36
      617       0.3376   5.37
      618       0.3399   5.37
      619       0.3394   5.36
      620       0.3378   5.36
      621       0.3383   5.36
      622       0.3391   5.36
      623       0.3390   5.36
      624       0.3545   5.36
      625       0.3396   5.36
      626       0.3392   5.36
      627       0.3387   5.36
      628       0.3392   5.36
      629       0.3395   5.36
      630       0.3387   5.36
      631       0.3391   5.36
      632       0.3396   5.36
      633       0.3395   5.36
      634       0.3391   5.36
      635       0.3389   5.36
      636       0.3390   5.36
      637       0.3391   5.36
      638       0.3393   5.36
      639       0.3378   5.36
      640       0.3385   5.36
      641       0.3393   5.36
      642       0.3386   5.36
      643       0.3394   5.36
      644       0.3390   5.36
      645       0.3384   5.36
      646       0.3392   5.36
      647       0.3391   5.36
      648       0.3385   5.36
      649       0.3373   5.36
      650       0.3383   5.36
      651       0.3399   5.36
      652       0.3388   5.36
      653       0.3390   5.36
      654       0.3413   5.36
      655       0.3376   5.36
      656       0.3389   5.36
      657       0.3412   5.36
      658       0.3373   5.36
      659       0.3381   5.36
      660       0.3383   5.36
      661       0.3381   5.36
