  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.3174 ns  (3.15 GHz)
  frequencia lida do sysfs no mesmo instante:         5.43 GHz

  amostra  ns/operacao   GHz
      588       0.3354   5.36
      589       0.3348   5.37
      590       0.3360   5.37
      591       0.3362   5.37
      592       0.3345   5.37
      593       0.3365   5.37
      594       0.3367   5.37
      595       0.3357   5.37
      596       0.3359   5.37
      597       0.3358   5.37
      598       0.3360   5.36
      599       0.3354   5.36
      600       0.3354   5.36
      601       0.3363   5.37
      602       0.3359   5.37
      603       0.3354   5.37
      604       0.3363   5.37
      605       0.3365   5.37
      606       0.3360   5.37
      607       0.3364   5.37
      608       0.3348   5.36
      609       0.3360   5.36
      610       0.3355   5.36
      611       0.3349   5.36
      612       0.3466   5.36
      613       0.3360   5.37
      614       0.3345   5.37
      615       0.3359   5.37
      616       0.3356   5.36
      617       0.3346   5.36
      618       0.3349   5.36
      619       0.3347   5.37
      620       0.3349   5.36
      621       0.3355   5.36
      622       0.3363   5.36
      623       0.3353   5.37
      624       0.3352   5.37
      625       0.3355   5.37
      626       0.3349   5.36
      627       0.3357   5.36
      628       0.3354   5.36
      629       0.3351   5.37
      630       0.3361   5.37
      631       0.3365   5.37
      632       0.3354   5.37
      633       0.3363   5.37
      634       0.3359   5.37
      635       0.3349   5.36
      636       0.3362   5.36
      637       0.3361   5.36
      638       0.3351   5.36
      639       0.3361   5.36
      640       0.3357   5.37
      641       0.3353   5.36
      642       0.3367   5.36
      643       0.3362   5.37
      644       0.3351   5.37
      645       0.3356   5.37
      646       0.3359   5.37
      647       0.3360   5.37
      648       0.3349   5.37
      649       0.3354   5.37
      650       0.3370   5.37
      651       0.3357   5.37
      652       0.3357   5.37
      653       0.3357   5.37
      654       0.3356   5.36
      655       0.3360   5.36
      656       0.3360   5.36
      657       0.3356   5.37
      658       0.3357   5.37
      659       0.3358   5.37
      660       0.3345   5.37
      661       0.3358   5.37
      662       0.3360   5.37
      663       0.3349   5.37
      664       0.3363   5.37
      665       0.3357   5.37
      666       0.3353   5.37
      667       0.3358   5.37
      668       0.3359   5.37
      669       0.3354   5.37
      670       0.3370   5.37
      671       0.3365   5.37
      672       0.3358   5.37
      673       0.3361   5.37
      674       0.3358   5.37
      675       0.3338   5.37
      676       0.3364   5.37
      677       0.3358   5.36
      678       0.3355   5.36
      679       0.3361   5.36
      680       0.3360   5.37
      681       0.3350   5.37
      682       0.3367   5.37
      683       0.3360   5.37
      684       0.3339   5.37
      685       0.3361   5.37
      686       0.3366   5.37
      687       0.3364   5.37
      688       0.3354   5.37
      689       0.3354   5.37
      690       0.3356   5.37
      691       0.3348   5.37
      692       0.3357   5.37
      693       0.3360   5.37
      694       0.3355   5.37
      695       0.3357   5.37
      696       0.3361   5.37
      697       0.3354   5.37
      698       0.3353   5.37
      699       0.3354   5.37
      700       0.3352   5.37
      701       0.3357   5.37
      702       0.3362   5.37
      703       0.3352   5.37
      704       0.3360   5.37
      705       0.3362   5.37
      706       0.3355   5.37
      707       0.3360   5.37
      708       0.3362   5.37
      709       0.3364   5.37
      710       0.3367   5.37
      711       0.3359   5.37
      712       0.3355   5.37
      713       0.3355   5.37
      714       0.3356   5.36
      715       0.3349   5.36
      716       0.3359   5.36
      717       0.3364   5.36
      718       0.3355   5.37
      719       0.3355   5.37
      720       0.3357   5.37
      721       0.3354   5.36
      722       0.3365   5.36
      723       0.3356   5.36
      724       0.3348   5.37
      725       0.3375   5.37
      726       0.3359   5.37
      727       0.3356   5.37
      728       0.3375   5.37
      729       0.3372   5.37
      730       0.3360   5.37
      731       0.3362   5.37
      732       0.3362   5.37
      733       0.3371   5.36
      734       0.3351   5.36
      735       0.3364   5.36
      736       0.3365   5.36
      737       0.3346   5.36
      738       0.3354   5.36
      739       0.3355   5.36
      740       0.3342   5.36
      741       0.3349   5.36
      742       0.3352   5.36
      743       0.3346   5.37
      744       0.3355   5.37
      745       0.3365   5.37
      746       0.3364   5.37
      747       0.3356   5.37
      748       0.3368   5.37
      749       0.3358   5.36
      750       0.3366   5.36
      751       0.3360   5.36
      752       0.3364   5.36
      753       0.3362   5.36
      754       0.3352   5.36
      755       0.3353   5.36
      756       0.3361   5.36
      757       0.3362   5.37
      758       0.3360   5.37
      759       0.3363   5.37
      760       0.3362   5.37
      761       0.3354   5.37
      762       0.3361   5.37
      763       0.3366   5.37
      764       0.3355   5.37
      765       0.3360   5.37
      766       0.3356   5.36
      767       0.3356   5.37
      768       0.3354   5.37
      769       0.3355   5.37
      770       0.3354   5.37
      771       0.3371   5.37
      772       0.3363   5.37
      773       0.3357   5.37
      774       0.3362   5.37
      775       0.3361   5.36
      776       0.3361   5.37
      777       0.3356   5.36
      778       0.3356   5.36
      779       0.3358   5.36
      780       0.3353   5.36
      781       0.3356   5.36
      782       0.3362   5.36
      783       0.3357   5.36
      784       0.3361   5.36
      785       0.3360   5.37
      786       0.3349   5.37
      787       0.3364   5.37
      788       0.3361   5.37
      789       0.3352   5.37
      790       0.3355   5.37
      791       0.3360   5.37
      792       0.3355   5.37
      793       0.3356   5.37
      794       0.3353   5.37
      795       0.3352   5.36
      796       0.3353   5.36
      797       0.3346   5.36
      798       0.3352   5.36
      799       0.3355   5.36
      800       0.3361   5.37
      801       0.3354   5.37
      802       0.3360   5.37
      803       0.3359   5.37
      804       0.3348   5.37
      805       0.3351   5.37
      806       0.3355   5.37
      807       0.3355   5.37
      808       0.3364   5.37
      809       0.3361   5.37
      810       0.3350   5.37
      811       0.3367   5.37
      812       0.3357   5.37
      813       0.3354   5.37
      814       0.3365   5.37
      815       0.3359   5.37
      816       0.3362   5.37
      817       0.3363   5.37
      818       0.3362   5.37
      819       0.3358   5.37
      820       0.3350   5.36
      821       0.3365   5.36
      822       0.3364   5.37
      823       0.3357   5.37
      824       0.3358   5.37
      825       0.3355   5.36
      826       0.3358   5.36
      827       0.3357   5.36
      828       0.3360   5.36
      829       0.3363   5.36
      830       0.3363   5.36
      831       0.3354   5.37
      832       0.3351   5.36
      833       0.3358   5.36
      834       0.3361   5.36
      835       0.3353   5.37
      836       0.3364   5.37
      837       0.3359   5.36
      838       0.3355   5.36
      839       0.3350   5.36
      840       0.3358   5.36
      841       0.3359   5.37
      842       0.3358   5.37
      843       0.3358   5.36
      844       0.3359   5.37
      845       0.3357   5.37
      846       0.3359   5.37
      847       0.3350   5.36
      848       0.3357   5.36
      849       0.3358   5.36
      850       0.3340   5.37
      851       0.3360   5.37
      852       0.3351   5.37
      853       0.3350   5.36
      854       0.3357   5.36
      855       0.3356   5.37
      856       0.3347   5.37
      857       0.3359   5.37
      858       0.3357   5.37
      859       0.3351   5.37
      860       0.3365   5.37
      861       0.3366   5.37
      862       0.3344   5.37
      863       0.3355   5.37
      864       0.3355   5.37
      865       0.3361   5.37
      866       0.3345   5.37
      867       0.3362   5.37
      868       0.3370   5.37
      869       0.3345   5.37
      870       0.3353   5.37
      871       0.3356   5.37
      872       0.3353   5.36
      873       0.3360   5.36
      874       0.3359   5.37
      875       0.3355   5.36
      876       0.3362   5.36
      877       0.3365   5.37
      878       0.3366   5.37
      879       0.3359   5.37
      880       0.3360   5.37
      881       0.3348   5.36
      882       0.3360   5.36
      883       0.3355   5.36
      884       0.3353   5.37
      885       0.3364   5.37
      886       0.3363   5.37
      887       0.3358   5.37
      888       0.3363   5.37
      889       0.3366   5.37
      890       0.3368   5.37
      891       0.3366   5.37
      892       0.3358   5.37
      893       0.3352   5.37
      894       0.3351   5.37
      895       0.3350   5.36
      896       0.3345   5.36
      897       0.3360   5.36
      898       0.3358   5.37
      899       0.3355   5.37
      900       0.3360   5.37
      901       0.3359   5.37
      902       0.3359   5.37
      903       0.3371   5.37
      904       0.3364   5.37
      905       0.3358   5.37
      906       0.3351   5.37
      907       0.3359   5.36
      908       0.3366   5.36
      909       0.3346   5.36
      910       0.3359   5.36
      911       0.3355   5.37
      912       0.3351   5.36
      913       0.3363   5.36
      914       0.3366   5.37
      915       0.3351   5.37
      916       0.3364   5.37
      917       0.3361   5.37
      918       0.3359   5.37
      919       0.3359   5.37
      920       0.3350   5.37
      921       0.3353   5.36
      922       0.3365   5.36
      923       0.3356   5.36
      924       0.3346   5.36
      925       0.3358   5.36
      926       0.3364   5.36
      927       0.3358   5.37
      928       0.3362   5.37
      929       0.3358   5.37
      930       0.3359   5.36
      931       0.3359   5.36
      932       0.3357   5.36
      933       0.3345   5.37
      934       0.3454   5.37
      935       0.3352   5.36
      936       0.3341   5.37
      937       0.3355   5.37
      938       0.3353   5.36
      939       0.3347   5.36
      940       0.3362   5.36
      941       0.3369   5.37
      942       0.3347   5.37
      943       0.3353   5.37
      944       0.3359   5.36
      945       0.3361   5.36
      946       0.3359   5.36
      947       0.3365   5.37
      948       0.3359   5.37
      949       0.3350   5.37
      950       0.3357   5.36
      951       0.3361   5.36
      952       0.3360   5.36
      953       0.3365   5.36
      954       0.3363   5.37
      955       0.3363   5.36
      956       0.3358   5.36
      957       0.3353   5.36
      958       0.3362   5.36
      959       0.3363   5.36
      960       0.3359   5.37
      961       0.3357   5.36
      962       0.3361   5.36
      963       0.3356   5.36
      964       0.3349   5.37
      965       0.3355   5.37
      966       0.3362   5.37
      967       0.3352   5.37
      968       0.3356   5.37
      969       0.3361   5.36
      970       0.3355   5.37
      971       0.3364   5.37
      972       0.3358   5.37
      973       0.3358   5.37
      974       0.3357   5.37
      975       0.3354   5.37
      976       0.3350   5.37
      977       0.3361   5.37
      978       0.3359   5.37
      979       0.3352   5.37
      980       0.3366   5.37
      981       0.3364   5.37
      982       0.3349   5.37
      983       0.3361   5.37
      984       0.3360   5.36
      985       0.3351   5.36
      986       0.3357   5.36
      987       0.3352   5.36
      988       0.3356   5.37
      989       0.3357   5.37
      990       0.3360   5.37
      991       0.3345   5.37
      992       0.3357   5.37
      993       0.3363   5.37
      994       0.3360   5.37
      995       0.3344   5.37
      996       0.3355   5.37
      997       0.3357   5.36
      998       0.3349   5.36
      999       0.3350   5.36
     1000       0.3358   5.37
     1001       0.3352   5.36
     1002       0.3358   5.36
     1003       0.3366   5.36
     1004       0.3353   5.37
     1005       0.3360   5.37
     1006       0.3357   5.37
     1007       0.3347   5.37
     1008       0.3357   5.37
     1009       0.3358   5.36
     1010       0.3366   5.37
     1011       0.3358   5.37
     1012       0.3358   5.37
     1013       0.3357   5.37
     1014       0.3360   5.37
     1015       0.3363   5.37
     1016       0.3351   5.36
     1017       0.3359   5.36
     1018       0.3359   5.36
     1019       0.3347   5.36
     1020       0.3361   5.36
     1021       0.3359   5.37
     1022       0.3363   5.36
     1023       0.3359   5.36
     1024       0.3360   5.37
     1025       0.3356   5.37
     1026       0.3359   5.37
     1027       0.3363   5.37
     1028       0.3349   5.37
     1029       0.3359   5.37
     1030       0.3361   5.37
     1031       0.3345   5.37
     1032       0.3369   5.37
     1033       0.3363   5.37
     1034       0.3351   5.37
     1035       0.3358   5.37
     1036       0.3359   5.37
     1037       0.3373   5.37
     1038       0.3346   5.37
     1039       0.3356   5.37
     1040       0.3361   5.37
     1041       0.3341   5.36
     1042       0.3355   5.36
     1043       0.3353   5.36
     1044       0.3347   5.37
     1045       0.3361   5.37
     1046       0.3363   5.37
     1047       0.3345   5.37
     1048       0.3360   5.37
     1049       0.3362   5.37
     1050       0.3357   5.37
     1051       0.3361   5.37
     1052       0.3362   5.37
     1053       0.3357   5.37
     1054       0.3362   5.37
     1055       0.3365   5.37
     1056       0.3350   5.37
     1057       0.3360   5.37
     1058       0.3360   5.36
