repetition,sample,bulk,burst,producer,consumer,objects,ns_per_object
16,0,0,8,0,2,200000,28.590470000
16,0,0,128,0,2,200000,19.736975000
16,0,1,32,0,0,200000,1.353720000
17,0,1,128,0,0,200000,1.119175000
17,0,1,32,0,0,200000,1.329470000
17,0,1,1,0,0,200000,23.710615000
17,0,0,8,0,0,200000,3.532900000
17,0,0,1,0,0,200000,25.052310000
17,0,1,8,0,2,200000,24.835300000
17,0,1,8,0,0,200000,3.068065000
17,0,0,8,0,2,200000,26.119430000
17,0,1,32,0,2,200000,19.833560000
17,0,1,128,0,2,200000,19.896130000
17,0,0,128,0,0,200000,1.709890000
17,0,0,128,0,2,200000,19.685330000
17,0,0,32,0,2,200000,20.940415000
17,0,1,1,0,2,200000,64.536035000
17,0,0,32,0,0,200000,1.898100000
17,0,0,1,0,2,200000,60.336770000
18,0,1,32,0,2,200000,19.950235000
18,0,0,32,0,2,200000,19.934905000
18,0,1,128,0,2,200000,19.851245000
18,0,0,128,0,2,200000,19.871435000
18,0,1,32,0,0,200000,1.327920000
18,0,0,8,0,2,200000,24.865855000
18,0,1,128,0,0,200000,1.600235000
18,0,0,1,0,0,200000,22.543450000
18,0,1,8,0,2,200000,24.835545000
18,0,0,32,0,0,200000,1.915185000
18,0,0,8,0,0,200000,3.459460000
18,0,1,1,0,0,200000,22.610480000
18,0,1,1,0,2,200000,59.485055000
18,0,0,1,0,2,200000,60.213840000
18,0,1,8,0,0,200000,3.079990000
18,0,0,128,0,0,200000,1.704685000
19,0,1,8,0,2,200000,24.739215000
19,0,0,1,0,0,200000,22.506880000
19,0,1,32,0,2,200000,20.476230000
19,0,1,1,0,0,200000,22.494255000
19,0,1,128,0,2,200000,19.877345000
19,0,1,1,0,2,200000,60.149170000
19,0,0,8,0,0,200000,3.333120000
19,0,0,8,0,2,200000,25.674040000
19,0,0,32,0,2,200000,20.038450000
19,0,0,32,0,0,200000,1.903260000
19,0,1,128,0,0,200000,1.141865000
19,0,1,8,0,0,200000,3.152080000
19,0,1,32,0,0,200000,1.441835000
19,0,0,128,0,0,200000,1.724870000
19,0,0,128,0,2,200000,19.842725000
19,0,0,1,0,2,200000,60.084140000
20,0,0,8,0,0,200000,3.390430000
20,0,1,32,0,2,200000,19.859460000
20,0,0,32,0,0,200000,1.892690000
20,0,1,1,0,2,200000,65.228650000
20,0,0,128,0,2,200000,19.793435000
20,0,1,8,0,0,200000,3.083350000
20,0,0,1,0,2,200000,55.600490000
20,0,0,8,0,2,200000,29.624680000
20,0,1,128,0,0,200000,1.121580000
20,0,0,128,0,0,200000,1.740700000
20,0,1,32,0,0,200000,1.334530000
20,0,1,128,0,2,200000,19.700815000
20,0,1,8,0,2,200000,25.008725000
20,0,1,1,0,0,200000,22.530480000
20,0,0,32,0,2,200000,20.210075000
20,0,0,1,0,0,200000,22.484790000
21,0,1,32,0,2,200000,19.742040000
21,0,0,8,0,0,200000,3.430405000
21,0,1,8,0,0,200000,3.125275000
21,0,1,1,0,0,200000,22.536485000
21,0,0,1,0,2,200000,57.575885000
21,0,0,128,0,0,200000,1.770710000
21,0,1,32,0,0,200000,1.356720000
21,0,0,128,0,2,200000,19.607385000
21,0,0,8,0,2,200000,30.558300000
21,0,1,128,0,0,200000,1.159050000
21,0,0,32,0,2,200000,19.910760000
21,0,1,128,0,2,200000,19.978035000
21,0,1,1,0,2,200000,60.660835000
21,0,0,32,0,0,200000,1.893595000
21,0,0,1,0,0,200000,22.827840000
21,0,1,8,0,2,200000,24.684515000
22,0,0,128,0,0,200000,1.727880000
22,0,1,1,0,0,200000,22.628815000
22,0,1,128,0,2,200000,19.786125000
22,0,0,32,0,0,200000,1.888330000
22,0,0,128,0,2,200000,19.927945000
22,0,1,8,0,0,200000,3.085650000
22,0,1,32,0,0,200000,1.328470000
22,0,0,8,0,0,200000,3.372050000
22,0,0,1,0,2,200000,64.592640000
22,0,1,1,0,2,200000,54.784195000
22,0,0,32,0,2,200000,20.319530000
22,0,1,8,0,2,200000,25.013035000
22,0,0,1,0,0,200000,22.526265000
22,0,0,8,0,2,200000,25.615975000
22,0,1,32,0,2,200000,19.804505000
22,0,1,128,0,0,200000,1.124080000
23,0,0,8,0,2,200000,29.890285000
23,0,1,128,0,0,200000,1.117770000
23,0,1,1,0,0,200000,22.636580000
23,0,0,1,0,2,200000,53.499910000
23,0,0,32,0,0,200000,1.903160000
23,0,0,32,0,2,200000,20.284170000
23,0,0,1,0,0,200000,22.484890000
23,0,1,8,0,2,200000,24.596645000
23,0,0,8,0,0,200000,4.083345000
23,0,1,1,0,2,200000,54.990135000
23,0,0,128,0,2,200000,21.472670000
23,0,1,8,0,0,200000,3.917230000
23,0,0,128,0,0,200000,1.723770000
23,0,1,32,0,0,200000,1.336285000
23,0,1,128,0,2,200000,19.882905000
23,0,1,32,0,2,200000,19.278260000
24,0,0,8,0,2,200000,25.338905000
24,0,0,1,0,0,200000,24.978670000
24,0,1,32,0,2,200000,19.658030000
24,0,1,8,0,2,200000,24.764265000
24,0,1,128,0,2,200000,20.260720000
24,0,1,8,0,0,200000,3.781920000
24,0,1,1,0,0,200000,24.633215000
24,0,0,8,0,0,200000,4.940970000
24,0,0,32,0,2,200000,20.975075000
24,0,1,128,0,0,200000,1.653485000
24,0,0,128,0,2,200000,19.937160000
24,0,0,1,0,2,200000,62.033640000
24,0,0,128,0,0,200000,3.037910000
24,0,1,32,0,0,200000,1.338290000
24,0,0,32,0,0,200000,1.902005000
24,0,1,1,0,2,200000,59.545775000
