  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor powersave

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.1786 ns  (5.60 GHz)
  frequencia lida do sysfs no mesmo instante:         5.59 GHz

  amostra  ns/operacao   GHz
      416       0.2027   5.53
      417       0.2027   5.53
      418       0.2034   5.53
      419       0.2028   5.53
      420       0.2034   5.53
      421       0.2027   5.53
      422       0.2028   5.53
      423       0.2034   5.53
      424       0.2027   5.53
      425       0.2033   5.53
      426       0.2026   5.53
      427       0.2035   5.53
      428       0.2027   5.53
      429       0.2027   5.53
      430       0.2033   5.53
      431       0.2027   5.53
      432       0.2032   5.53
      433       0.2027   5.53
      434       0.2027   5.53
      435       0.2033   5.53
      436       0.2027   5.53
      437       0.2034   5.53
      438       0.2028   5.53
      439       0.2027   5.53
      440       0.2034   5.53
      441       0.2027   5.53
      442       0.2033   5.53
      443       0.2026   5.53
      444       0.2027   5.53
      445       0.2033   5.53
      446       0.2027   5.53
      447       0.2035   5.53
      448       0.2027   5.53
      449       0.2028   5.53
      450       0.2033   5.53
      451       0.2028   5.53
      452       0.2033   5.53
      453       0.2027   5.53
      454       0.2033   5.53
      455       0.2027   5.53
      456       0.2027   5.53
      457       0.2031   5.53
      458       0.2027   5.53
      459       0.2033   5.53
      460       0.2027   5.53
      461       0.2028   5.53
      462       0.2034   5.53
      463       0.2028   5.53
      464       0.2035   5.53
      465       0.2027   5.53
      466       0.2028   5.53
      467       0.2033   5.53
      468       0.2028   5.53
      469       0.2033   5.53
      470       0.2027   5.53
      471       0.2027   5.53
      472       0.2033   5.53
      473       0.2027   5.53
      474       0.2033   5.53
      475       0.2028   5.53
      476       0.2027   5.53
      477       0.2034   5.53
      478       0.2027   5.53
      479       0.2033   5.53
      480       0.2028   5.53
      481       0.2034   5.53
      482       0.2027   5.53
      483       0.2028   5.53
      484       0.2034   5.53
      485       0.2028   5.53
      486       0.2036   5.53
      487       0.2027   5.53
      488       0.2027   5.53
      489       0.2033   5.53
      490       0.2028   5.53
      491       0.2034   5.53
      492       0.2028   5.53
      493       0.2027   5.53
      494       0.2033   5.53
      495       0.2027   5.53
      496       0.2034   5.53
      497       0.2028   5.53
      498       0.2027   5.53
      499       0.2035   5.53
      500       0.2027   5.53
      501       0.2032   5.53
      502       0.2027   5.53
      503       0.2029   5.53
      504       0.2107   5.53
      505       0.2026   5.53
      506       0.2032   5.53
      507       0.2027   5.53
      508       0.2034   5.53
      509       0.2027   5.53
      510       0.2026   5.53
      511       0.2033   5.53
      512       0.2027   5.53
      513       0.2033   5.53
      514       0.2027   5.53
      515       0.2027   5.53
      516       0.2032   5.53
      517       0.2027   5.53
      518       0.2032   5.53
      519       0.2028   5.53
      520       0.2028   5.53
      521       0.2033   5.53
      522       0.2027   5.53
      523       0.2036   5.53
      524       0.2027   5.53
      525       0.2027   5.53
